model,(All)
transmission_type,(Multiple Items)
manufacturer,(All)
,
,
co2_emissions_gPERkm,power_ps
14,510
18,320
20,218
21,218
21,225
21,306
22,185
22,218
22,306
23,218
23,510
25,204
25,306
25,320
26,204
26,320
27,179
27,181
27,204
28,91
28,93
28,122
28,200
29,91
29,181
29,204
29,218
29,225
30,91
30,92
30,218
30,245
31,92
31,141
31,195
31,218
31,245
32,141
32,200
32,218
32,225
32,306
33,92
33,105
33,218
33,245
34,390
35,92
35,179
35,306
36,92
36,200
36,340
37,132
,218
38,141
,180
,181
,200
,320
39,200
,340
,390
41,181
,211
,262
42,306
,390
,405
43,162
,262
44,200
,320
45,306
,390
46,200
,405
47,190
48,188
,320
49,320
51,340
,405
52,190
53,188
57,306
,390
58,306
61,320
,340
,390
62,320
66,120
74,300
76,300
,390
78,300
81,120
82,340
85,300
86,120
87,300
92,92
94,97
98,92
99,91
100,91
,116
101,91
,102
,112
102,98
,105
,112
,116
103,98
,102
,112
104,97
,98
,102
105,98
,102
,105
106,83
,95
,98
,120
107,90
108,75
,93
,97
109,72
,75
,85
,93
,97
,98
,122
110,67
,72
,83
,85
,93
,98
,110
,112
,122
,125
,141
111,85
,93
,102
,112
,122
,125
,155
,180
112,67
,75
,77
,83
,85
,93
,101
,112
,116
,122
,125
,180
,184
113,72
,75
,93
,110
,112
,115
,116
,122
,131
,136
,155
114,67
,72
,75
,93
,105
,115
,125
,131
,186
115,67
,70
,83
,93
,95
,100
,102
,105
,116
,120
,131
,155
116,95
,101
,102
,110
,115
,116
,125
,131
,155
117,67
,72
,93
,95
,100
,102
,115
,116
,125
,131
,155
,186
118,66
,67
,72
,83
,91
,95
,100
,115
,116
,120
,180
,186
119,66
,67
,91
,95
,100
,115
,116
,120
,125
,131
,136
,141
,150
,180
,184
,218
120,66
,67
,70
,71
,75
,84
,91
,92
,95
,100
,101
,110
,115
,120
,122
,136
,141
,178
,180
,184
,186
121,66
,72
,75
,80
,83
,90
,91
,92
,95
,100
,101
,110
,115
,120
,125
,129
,131
,136
,155
,184
,186
122,67
,72
,83
,84
,86
,90
,102
,107
,115
,120
,129
,131
,136
,155
123,67
,80
,91
,95
,100
,110
,115
,120
,131
,150
,184
124,75
,84
,90
,95
,110
,115
,116
,122
,130
,136
,150
,152
,184
,190
,218
125,95
,100
,102
,110
,115
,120
,129
,130
,131
,136
,150
,155
,161
,178
,180
,184
,190
,218
126,67
,80
,89
,92
,95
,110
,115
,116
,120
,131
,136
,150
,178
,184
,218
127,67
,80
,91
,95
,100
,110
,115
,116
,120
,122
,125
,130
,131
,136
,150
,180
,184
,186
,190
,218
128,67
,84
,91
,100
,110
,115
,116
,120
,125
,130
,131
,150
,184
,186
,190
,194
,218
129,69
,70
,73
,75
,84
,89
,91
,100
,102
,110
,115
,116
,120
,125
,129
,130
,131
,155
,160
,178
,180
,190
,194
,218
,244
130,73
,84
,89
,91
,95
,100
,101
,110
,115
,116
,120
,130
,131
,136
,139
,150
,161
,180
,194
,200
,218
,244
131,70
,73
,84
,89
,91
,100
,101
,102
,110
,115
,120
,125
,130
,136
,139
,150
,160
,163
,178
,180
,190
,194
,218
,230
,265
132,73
,75
,83
,89
,91
,97
,100
,110
,115
,129
,131
,136
,139
,150
,178
,180
,190
,218
133,70
,80
,84
,86
,89
,90
,91
,100
,102
,110
,115
,116
,129
,131
,136
,139
,150
,155
,160
,163
,178
,180
134,69
,70
,71
,84
,89
,91
,100
,110
,114
,115
,116
,120
,122
,125
,126
,136
,139
,140
,150
,155
,160
,163
,178
,180
,186
,190
,194
,200
135,76
,89
,91
,97
,100
,102
,110
,114
,115
,116
,120
,125
,126
,131
,136
,139
,163
,186
,194
,265
136,69
,73
,89
,100
,114
,115
,120
,122
,125
,126
,131
,136
,139
,150
,155
,159
,184
,190
,194
,242
137,69
,73
,76
,89
,92
,100
,101
,110
,114
,115
,120
,126
,131
,136
,139
,150
,155
,163
,182
,184
,186
,194
,242
138,73
,84
,89
,99
,100
,114
,115
,116
,120
,122
,125
,126
,131
,136
,139
,150
,155
,159
,182
,186
,200
139,69
,73
,89
,91
,100
,110
,114
,115
,116
,120
,125
,126
,131
,136
,139
,150
,160
,194
140,69
,73
,84
,89
,91
,100
,110
,114
,115
,120
,122
,126
,131
,136
,139
,140
,150
,161
,163
,180
,184
,190
141,73
,89
,91
,100
,101
,110
,114
,115
,116
,120
,122
,125
,126
,130
,131
,136
,139
,140
,149
,150
,159
,160
,170
,190
,194
,245
142,73
,89
,91
,92
,99
,110
,114
,115
,120
,122
,126
,129
,130
,131
,132
,136
,139
,140
,149
,150
,153
,155
,159
,160
,180
,190
,194
143,73
,89
,92
,100
,114
,120
,125
,126
,130
,131
,136
,139
,140
,149
,150
,155
,160
,190
,194
,204
,242
,245
144,69
,73
,89
,91
,100
,112
,114
,115
,116
,120
,122
,126
,130
,131
,139
,140
,149
,150
,160
,163
,184
,194
,197
,242
145,69
,89
,91
,100
,114
,120
,122
,130
,132
,139
,140
,149
,150
,155
,159
,160
,177
,180
,181
,185
,190
,194
,242
146,89
,91
,100
,110
,116
,120
,125
,130
,131
,136
,139
,140
,149
,150
,152
,153
,159
,160
,161
,180
,184
,185
,190
,194
,224
,245
,250
147,88
,89
,91
,100
,106
,120
,126
,130
,131
,136
,139
,149
,150
,153
,159
,163
,177
,184
,185
,190
,194
,224
,245
148,69
,73
,84
,89
,100
,115
,126
,130
,131
,136
,139
,149
,150
,153
,163
,181
,184
,190
,194
,197
,200
,245
,250
,265
149,69
,84
,89
,100
,102
,106
,111
,120
,121
,122
,125
,126
,130
,136
,139
,149
,150
,159
,160
,163
,180
,184
,186
,190
,194
,204
,211
,224
,245
150,73
,89
,100
,111
,115
,116
,122
,126
,130
,136
,139
,140
,149
,150
,159
,163
,165
,182
,190
,194
,224
,245
,258
,265
151,84
,99
,100
,102
,120
,122
,125
,131
,136
,139
,140
,145
,150
,159
,160
,163
,182
,184
,190
,194
,200
,245
,265
152,83
,84
,100
,115
,120
,122
,126
,130
,136
,139
,145
,149
,150
,159
,163
,165
,180
,184
,190
,194
,211
,224
,250
,251
,265
153,105
,112
,120
,122
,126
,130
,131
,136
,139
,145
,149
,150
,155
,160
,163
,165
,180
,185
,190
,200
,204
,211
,224
,245
,251
,300
154,95
,102
,110
,120
,122
,125
,126
,131
,136
,139
,145
,150
,163
,165
,190
,194
,197
,200
,204
,210
,245
,251
,265
,292
,300
,780
155,95
,120
,122
,126
,136
,139
,145
,149
,150
,156
,160
,163
,165
,184
,194
,224
,245
,250
,300
156,69
,85
,100
,120
,122
,126
,131
,136
,139
,140
,149
,150
,151
,160
,163
,180
,184
,194
,197
,251
,258
,265
157,120
,125
,131
,136
,139
,149
,150
,160
,163
,177
,180
,184
,190
,194
,292
158,128
,129
,131
,136
,139
,149
,150
,151
,152
,156
,160
,163
,180
,194
,197
,204
,230
,258
,286
159,100
,120
,136
,139
,140
,145
,149
,150
,163
,165
,180
,184
,245
,248
,250
,258
,280
160,88
,102
,120
,130
,136
,139
,149
,150
,165
,180
,182
,184
,197
,245
,248
,258
,272
,780
161,102
,120
,121
,130
,131
,136
,139
,145
,149
,150
,160
,163
,180
,181
,184
,190
,197
,235
,245
162,111
,120
,130
,131
,139
,145
,149
,150
,163
,165
,177
,180
,190
,194
,197
,210
,245
,251
,258
163,100
,102
,111
,130
,131
,136
,145
,149
,160
,163
,165
,170
,180
,184
,194
,200
,204
,245
,286
,292
,300
164,71
,120
,130
,131
,139
,145
,149
,150
,163
,165
,184
,185
,190
,194
,197
,235
,245
,258
165,131
,145
,150
,160
,165
,180
,181
,190
,197
,224
,258
166,95
,120
,132
,145
,150
,163
,165
,180
,184
,190
,194
,197
,200
,224
,230
,245
,251
167,110
,120
,136
,144
,163
,174
,180
,181
,184
,190
,194
,224
,245
,250
,258
168,100
,115
,120
,128
,150
,162
,163
,165
,177
,180
,190
,197
,204
,224
,230
,250
,258
,286
,292
169,103
,117
,140
,145
,150
,163
,180
,190
,197
,204
,210
,224
,230
,235
,245
,258
,286
,300
170,71
,120
,122
,140
,144
,150
,151
,152
,163
,177
,181
,194
,197
,211
,224
,245
,250
,258
171,122
,136
,150
,165
,180
,184
,190
,194
,197
,200
,210
,211
,224
,245
,300
172,120
,131
,149
,163
,180
,194
,197
,200
,224
,245
,258
,265
,299
,300
,330
173,115
,128
,129
,131
,136
,149
,160
,163
,165
,184
,197
,200
,220
,224
,265
,299
,306
,330
,340
174,100
,122
,132
,150
,162
,178
,184
,194
,197
,211
,224
,245
,250
,258
,280
175,160
,163
,184
,190
,194
,197
,200
,224
,240
,250
,330
,340
176,114
,140
,150
,163
,184
,185
,190
,194
,197
,202
,224
,250
,265
,306
,330
,340
177,114
,120
,132
,150
,156
,163
,165
,180
,181
,184
,197
,200
,238
,243
,248
,250
,258
,265
,300
,306
,330
,367
,435
178,114
,132
,136
,150
,156
,170
,177
,180
,184
,190
,194
,200
,224
,235
,278
,299
,306
,313
,330
,340
179,103
,114
,122
,132
,140
,163
,180
,184
,194
,200
,235
,240
,245
,250
,258
,280
,300
,306
,313
180,95
,100
,114
,120
,147
,163
,174
,180
,190
,194
,200
,235
,250
,258
,280
,286
,313
,340
181,120
,150
,177
,181
,185
,190
,240
,258
,278
182,128
,150
,177
,185
,190
,194
,197
,210
,240
,245
,280
,300
,306
,359
183,120
,122
,130
,132
,177
,180
,185
,190
,224
,240
,245
,300
,306
,367
184,115
,120
,128
,132
,136
,150
,177
,180
,182
,184
,185
,190
,200
,224
,245
,306
,359
,435
185,95
,120
,136
,147
,150
,163
,177
,184
,185
,190
,258
,286
,300
,313
,435
186,120
,136
,140
,150
,184
,190
,197
,210
,245
,250
,258
,261
,272
,280
,300
,310
,313
,367
,421
,510
187,100
,119
,120
,122
,136
,150
,163
,180
,185
,197
,211
,235
,240
,245
,250
,258
,278
,280
,300
,306
,320
188,108
,114
,120
,122
,130
,136
,150
,163
,180
,184
,185
,190
,197
,211
,245
,250
,258
,280
,286
,306
,320
,330
,340
189,110
,114
,119
,145
,177
,197
,200
,210
,235
,245
,258
,280
,306
,330
190,110
,114
,119
,120
,136
,145
,149
,150
,163
,180
,190
,200
,238
,278
,280
,286
,300
,306
,421
191,110
,119
,136
,145
,163
,180
,190
,194
,200
,240
,250
,280
,300
,320
,340
192,110
,119
,120
,136
,145
,149
,150
,163
,169
,177
,190
,224
,240
,250
,300
,310
,367
193,110
,119
,124
,136
,145
,149
,150
,163
,169
,170
,175
,177
,180
,200
,245
,250
,258
,300
,306
,310
,320
,367
,435
194,136
,145
,150
,163
,176
,180
,190
,280
,300
,306
,320
,330
,421
195,136
,144
,150
,163
,169
,190
,245
,258
,275
,280
,299
,300
,306
,330
,340
,367
196,102
,136
,145
,147
,163
,169
,180
,190
,197
,200
,240
,245
,258
,300
,306
,330
,340
197,136
,163
,169
,170
,177
,180
,190
,197
,224
,245
,250
,272
,300
,340
,390
198,102
,122
,136
,145
,150
,163
,169
,177
,178
,190
,250
,299
,300
,330
,340
,367
,421
199,102
,136
,144
,145
,147
,150
,163
,177
,180
,235
,245
,330
200,136
,163
,169
,177
,184
,190
,240
,245
,286
,306
,330
,340
201,136
,163
,177
,190
,306
,390
202,136
,150
,163
,177
,190
,200
,235
,240
,250
,280
,286
,291
,300
,306
,367
203,122
,136
,163
,176
,190
,240
,250
,367
,421
204,130
,182
,185
,197
,200
,340
,367
,435
205,102
,136
,150
,249
,258
,280
,300
,435
206,102
,125
,136
,149
,170
,180
,245
,280
,300
207,122
,180
,200
,211
,238
,250
,258
,300
,306
,367
,421
,435
208,122
,170
,180
,200
,211
,250
,435
209,177
,200
,250
,291
,435
210,249
,300
,304
,330
,367
,435
211,238
,300
,367
,435
212,200
,367
,435
213,136
,194
,200
,230
,300
,306
,367
,435
214,238
,249
,275
,300
,359
,421
215,125
,170
,245
,249
,300
,359
,367
,435
216,240
,300
,359
,435
217,240
,258
,435
218,180
,245
,250
,300
,304
,390
,435
,510
219,180
,280
,390
,435
220,180
,200
,249
,300
,367
,390
,435
221,170
,240
,245
,250
,300
,304
,367
,435
222,130
,185
,200
,280
,367
,390
223,300
224,200
,249
,367
225,200
,202
,249
,340
,390
,421
226,249
,278
,300
227,185
,250
,390
228,200
,300
,330
,390
,510
229,340
230,185
,200
,240
,350
,390
,402
,416
,436
231,200
,240
,250
232,108
,130
,185
,249
,306
,340
,390
233,272
,278
,306
,340
,366
,390
,510
234,177
,200
,240
,300
,390
,400
235,200
,240
,249
,275
,306
,455
,469
236,249
,306
,400
,503
237,177
,200
,240
238,300
,510
239,204
,304
240,204
,272
,330
,380
,390
,400
,435
241,240
,249
,275
,435
242,390
,510
243,469
,510
244,300
,304
,380
,390
,455
,503
,510
245,149
,177
,204
,300
,380
,400
,416
246,204
,240
,367
,550
247,200
,204
,240
,300
,380
,390
,435
,510
,550
248,200
,240
,416
249,130
,185
,367
,503
,510
,550
250,177
,204
,272
,510
,550
251,200
,204
,240
,330
,380
,400
,435
,510
,575
252,177
,204
,330
,380
,400
,510
253,177
,200
,240
,249
,510
254,177
,249
,340
,390
,510
255,177
,275
,300
,306
,380
,400
,510
,620
256,177
,200
,300
,306
,380
,390
,400
,449
,450
,510
257,189
,272
,306
,510
258,204
,249
,275
,400
,510
259,306
,510
260,300
,306
,380
261,300
,510
262,464
,510
263,300
,503
,510
,535
,612
264,510
,535
265,185
,300
,449
,450
266,300
267,300
,503
,510
,600
268,189
,232
,449
,450
,464
,612
270,189
,232
,400
,459
,460
,612
,620
271,400
272,400
273,476
,612
274,400
,612
275,340
,400
,464
,550
276,130
,185
,232
,300
,449
,450
,510
,540
,570
,612
,720
277,300
,400
,482
,600
,612
278,185
,272
,340
,476
,550
279,612
280,300
,800
281,300
,550
,612
282,105
,130
,185
,710
283,300
,340
,612
284,460
,550
,612
286,232
,612
287,510
,530
,612
288,330
,476
,530
,550
,585
289,557
,585
,710
290,330
,530
,639
291,340
,510
,557
,585
,639
292,585
,710
,730
293,510
,557
294,510
,550
,602
295,557
,612
,639
296,340
,710
298,510
,725
299,130
,185
,476
,639
300,510
301,232
,592
302,550
,639
303,189
,630
,640
304,612
305,557
306,715
,725
308,635
,639
311,659
313,592
315,525
316,525
318,525
320,659
322,525
323,550
324,249
326,612
336,525
,635
337,525
,635
338,565
339,525
,575
340,635
345,249
,571
347,571
357,600
358,600
359,571
362,571
363,600
366,571
,680
,785
,793
368,571
370,600
372,571
373,600
,785
377,571
,585
380,600
Grand Total,